Rank,Release,Gross,Max_Th,Opening,%_of_Total,Open_Th,Open,Close,Distributor
252,Joni 75: A Birthday Celebration,"$752,205",405,"$35,111",4.7%,59,Feb 7,Mar 28,Trafalgar Releasing
253,The Game Changers,"$739,711",610,-,-,-,Sep 16,-,Fathom Events
254,David Crosby: Remember My Name,"$732,793",67,"$43,483",5.9%,4,Jul 19,-,Sony Pictures Classics
255,More Than Blue,"$722,669",40,"$185,928",25.7%,26,Mar 15,Apr 18,China Lion Film Distribution
256,The Captain,"$706,572",47,"$324,769",46%,47,Oct 18,-,Well Go USA Entertainment
257,Where's My Roy Cohn?,"$705,274",66,"$41,202",5.8%,4,Sep 20,-,Sony Pictures Classics
258,Non-Fiction,"$704,919",89,"$29,853",4.2%,2,May 3,Jul 28,IFC Films
259,Spirits in the Forest,"$704,744",388,"$232,452",33%,276,Nov 21,-,Trafalgar Releasing
260,Raise Hell: The Life & Times of Molly Ivins,"$694,410",42,"$94,504",13.6%,18,Aug 30,-,Magnolia Pictures
261,The Sky Is Pink,"$652,592",194,"$334,713",51.3%,194,Oct 11,-,Magnolia Pictures
262,Nancy Drew and the Hidden Staircase,"$623,088",-,-,-,-,Mar 15,-,Warner Bros.
263,Dirty Dancing,"$622,968",650,"$356,515",57.2%,650,Feb 10,Feb 14,Fathom Events
264,Miles Davis: Birth of the Cool,"$614,201",31,"$18,258",3%,1,Aug 23,-,Abramorama
265,Roger Waters - Us + Them,"$611,644",497,"$251,842",41.2%,396,Oct 2,-,Trafalgar Releasing
266,The Muppet Movie,"$610,475",727,-,-,-,Jul 25,Jul 30,Fathom Events
267,The White Storm 2: Drug Lords,"$609,461",54,"$244,795",40.2%,54,Jul 12,Aug 15,CMC Pictures
268,The Least of These: The Graham Staines Story,"$607,015",625,"$282,472",46.5%,440,Jan 31,Feb 21,Fathom Events
269,The Chaperone,"$600,654",128,"$12,150",-,2,Mar 28,Jul 11,PBS Distribution
270,Furie,"$594,788",27,"$156,120",26.2%,14,Mar 1,Apr 11,Well Go USA Entertainment
271,To Kill a Mockingbird,"$592,237",668,"$357,549",60.4%,668,Mar 24,Mar 27,Fathom Events
272,Bethany Hamilton: Unstoppable,"$590,671",205,"$241,740",40.9%,205,Jul 12,-,Entertainment Studios Motion Pictures
273,The Public,"$573,503",263,"$259,455",45.2%,263,Apr 5,-,Greenwich Entertainment
274,My Fair Lady,"$560,711",652,"$354,764",63.3%,652,Feb 17,-,Fathom Events
275,The Shining,"$551,257",-,-,-,-,Sep 1,-,Warner Bros.
276,Fiddler: A Miracle of Miracles,"$549,386",77,"$36,425",6.6%,7,Aug 23,-,Roadside Attractions
277,Everybody's Everything,"$547,207",121,"$60,582",11.1%,29,Nov 12,-,Gunpowder & Sky
278,"DCI 2019: Big, Loud & Live 16","$546,060",513,-,-,-,Aug 8,-,Fathom Events
279,La femme de mon frère,"$539,524",30,"$59,438",11%,16,Jun 7,-,Entertainment One
280,Grateful Dead Meet-Up 2019,"$537,153",503,"$3,786",0.7%,4,Aug 1,-,Trafalgar Releasing
281,Code Geass: Lelouch of the Re;Surrection,"$522,805",490,"$189,617",36.3%,479,May 5,-,FUNimation Entertainment
282,Shadow,"$521,396",53,"$27,474",5.3%,4,May 3,-,Well Go USA Entertainment
283,Long Day's Journey Into Night,"$521,365",24,"$26,746",5.1%,3,Apr 12,Oct 10,Kino Lorber
284,The Spy Behind Home Plate,"$519,525",31,"$10,250",-,1,May 24,-,Ciesla Foundation
285,Wild Nights with Emily,"$519,487",78,"$30,209",5.8%,3,Apr 12,Jul 4,Greenwich Entertainment
286,Saving Private Ryan,"$508,694",642,"$265,125",52.1%,642,Jun 2,-,Fathom Events
287,Birds of Passage,"$507,259",97,"$23,082",4.6%,2,Feb 13,Apr 28,The Orchard
288,Tel Aviv on Fire,"$506,145",37,"$47,545",9.4%,11,Aug 2,-,Cohen Media Group
289,Whisper of the Heart,"$498,156",745,-,-,-,Jul 1,Jul 2,Fathom Events
290,Nausicaä of the Valley of the Wind,"$495,770",751,-,-,-,May 20,May 21,Fathom Events
291,Batla House,"$493,180",81,"$212,645",43.1%,81,Aug 15,-,Fathom Events
292,The Climbers,"$487,157",102,"$156,096",32%,102,Sep 30,-,Well Go USA Entertainment
293,The Great Alaskan Race,"$485,603",447,-,-,-,Oct 25,-,Well Go USA Entertainment
294,The Russian Five,"$485,049",44,"$156,732",32.3%,36,Mar 21,Jul 11,Well Go USA Entertainment
295,63 Up,"$483,684",28,"$13,956",2.9%,1,Nov 27,-,BritBox
296,Lawrence of Arabia,"$482,281",661,"$291,722",60.5%,661,Sep 1,-,Fathom Events
297,CatVideoFest,"$470,923",103,"$11,269",2.4%,1,Feb 15,-,Oscilloscope
298,Exit,"$470,699",19,"$32,441",6.9%,2,Aug 2,-,CJ Entertainment
299,Panipat,"$461,863",175,"$295,624",64%,175,Dec 6,-,Reliance Entertainment
300,Les Misérables: The Staged Concert,"$459,478",488,"$192,034",41.8%,392,Dec 6,-,Trafalgar Releasing
301,Christmas Jars,"$459,462",789,-,-,-,Nov 4,-,Fathom Events
302,Gorillaz: Reject False Icons,"$453,687",284,-,-,-,Dec 16,-,Trafalgar Releasing
303,Cruel Intentions,"$445,218",708,"$258,708",58.1%,708,Mar 22,Apr 4,Sony Pictures Releasing
304,Teen Spirit,"$441,366",696,"$43,620",9.9%,4,Apr 12,Apr 25,Bleecker Street Media
305,De De Pyaar De,"$425,934",104,"$425,934",100%,104,May 17,-,Yash Raj Films
306,Killing Sarai,"$425,332",160,"$226,670",53.3%,160,Dec 6,Jan 3,Pantelion Films
307,Hail Satan?,"$424,284",67,"$26,496",6.2%,3,Apr 17,Jun 27,Magnolia Pictures
308,Pagalpanti,"$423,340",116,"$227,714",53.8%,116,Nov 22,-,Eros International
309,Ash Is Purest White,"$422,814",49,"$45,150",-,7,Mar 15,Aug 13,Cohen Media Group
310,Ben-Hur,"$422,622",649,"$241,792",57.2%,649,Apr 14,Apr 17,Fathom Events
311,Fate/stay night [Heaven's Feel] II. lost butterfly,"$420,595",515,-,-,-,Mar 14,Mar 14,Fathom Events
312,The Cold Blue,"$420,177",702,-,-,-,May 23,May 23,Fathom Events
313,The Reliant,"$408,747",722,-,-,-,Oct 24,-,Fathom Events
314,The Invisibles,"$407,373",19,"$27,164",6.7%,4,Jan 25,May 16,Greenwich Entertainment
315,Monos,"$406,473",50,"$49,843",12.3%,5,Sep 13,-,Neon
316,Meet Me in St. Louis,"$403,521",679,"$225,684",55.9%,679,Dec 8,-,Fathom Events
317,"Hello, Dolly!","$400,881",669,"$221,204",55.2%,669,Aug 11,-,Fathom Events
318,The Nightingale,"$400,209",79,"$35,882",9%,2,Aug 2,-,IFC Films
319,Mia and the White Lion,"$399,471",312,"$192,816",48.3%,312,Apr 12,May 14,IFC Films
320,The Man Who Killed Don Quixote,"$391,963",756,-,-,-,Apr 10,Jul 14,Screen Media Films
321,The Wedding Guest,"$386,166",96,"$18,266",4.7%,4,Mar 1,Apr 11,IFC Films
322,The Secret World of Arrietty,"$384,289",750,"$226,728",59%,741,Sep 29,-,Fathom Events
323,What We Left Behind: Star Trek DS9,"$382,457",795,-,-,-,May 13,May 13,Fathom Events
324,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$378,405",346,"$38,761",10.2%,83,Jul 11,-,Trafalgar Releasing
325,Matthias & Maxime,"$374,739",53,"$64,988",17.3%,50,Oct 9,-,Entertainment One
326,Ashfall,"$372,562",18,"$36,201",9.7%,2,Dec 19,-,Capelight Pictures
327,The Hummingbird Project,"$371,784",232,"$34,202",9.2%,4,Mar 15,Apr 28,The Orchard
328,Ghostbusters,"$369,612",546,"$239,202",64.7%,546,Oct 6,-,Fathom Events
329,Clemency,"$364,716",127,"$35,444",9.7%,2,Dec 27,-,Neon
330,The Shawshank Redemption,"$358,507",669,"$183,128",51.1%,669,Sep 22,-,Fathom Events
331,The Tomorrow Man,"$354,103",207,"$18,281",5.2%,4,May 22,Jun 20,Bleecker Street Media
332,"Cyrano, My Love","$351,019",18,-,-,-,Feb 8,-,Roadside Attractions
333,Star Trek,"$346,243",627,"$220,007",63.5%,627,Sep 15,-,Fathom Events
334,Photograph,"$344,534",123,"$35,796",10.4%,13,May 17,Jun 13,Amazon Studios
335,Diane,"$336,166",64,"$24,467",7.3%,3,Mar 29,May 23,IFC Films
336,A Silent Voice: The Movie,"$333,984",581,-,-,-,Jan 28,-,Fathom Events
337,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979",288,"$328,979",100%,288,Mar 16,Mar 16,Fathom Events
338,P Storm,"$326,711",30,"$104,071",31.9%,30,Apr 4,May 9,CMC Pictures
339,National Theatre Live: Fleabag,"$326,283",399,-,-,-,Nov 18,-,Fathom Events
340,Sword of Trust,"$322,421",78,"$19,332",6%,2,Jul 12,-,IFC Films
341,Lucy in the Sky,"$319,976",231,"$54,058",16.9%,37,Oct 4,Oct 31,Fox Searchlight Pictures
342,You Are Here: A Come From Away Story,"$318,885",781,-,-,-,Sep 11,-,Fathom Events
343,Josh Groban Bridges Live from Madison Square Garden,"$315,173",390,-,-,-,Feb 8,Mar 14,Trafalgar Releasing
344,Bolshoi Ballet: The Sleeping Beauty,"$311,368",355,"$311,368",100%,355,Mar 10,-,Fathom Events
345,DanTDM Presents The Contest,"$307,484",684,"$307,484",100%,684,Nov 2,-,Fathom Events
346,Aquarela,"$307,346",69,"$24,753",8.1%,5,Aug 16,-,Sony Pictures Classics
347,K-12,"$303,230",81,-,-,-,Sep 5,Sep 5,Abramorama
348,Ask Dr. Ruth,"$297,195",110,"$93,128",31.3%,104,May 3,Jul 11,Magnolia Pictures
349,Line Walker 2: Invisible Spy,"$296,751",17,"$96,991",32.7%,17,Aug 16,-,Well Go USA Entertainment
350,Junglee,"$295,784",70,"$47,089",15.9%,70,Mar 29,Apr 4,Well Go USA Entertainment
351,The Giant Spider Invasion,"$293,053",685,-,-,-,Aug 15,-,Fathom Events
352,Stockholm,"$292,590",122,-,-,-,Apr 12,May 19,Fathom Events
353,The Godfather: Part II,"$291,754",681,"$171,417",58.8%,681,Nov 10,-,Fathom Events
354,Killerman,"$291,477",322,"$153,799",52.8%,322,Aug 30,Oct 31,Blue Fox Entertainment
355,The Bravest,"$290,217",150,"$110,375",38%,150,Aug 9,Sep 2,Sony Pictures Releasing
356,Saga of Tanya the Evil - The Movie,"$288,460",518,-,-,-,May 16,May 16,Fathom Events
357,Khalid: Free Spirit,"$284,229",382,-,-,-,Apr 3,Apr 4,Trafalgar Releasing
358,Mike Wallace Is Here,"$281,245",39,"$19,437",6.9%,3,Jul 26,-,Magnolia Pictures
359,The Whistleblower,"$280,851",133,"$150,481",53.6%,133,Dec 6,-,CMC Pictures Holdings
360,Octaman,"$280,710",668,-,-,-,Apr 18,-,Fathom Events
361,I Want to Eat Your Pancreas,"$277,019",427,"$111,108",40.1%,397,Feb 7,Feb 14,Fathom Events
362,Freaks,"$276,591",111,"$161,543",58.4%,111,Sep 13,-,Well Go USA Entertainment
363,True Grit,"$276,418",614,"$157,788",57.1%,614,May 5,-,Fathom Events
364,The Tale of The Princess Kaguya,"$271,681",737,-,-,-,Dec 16,-,Fathom Events
365,Shakira in Concert: El Dorado World Tour,"$271,586",500,"$111,273",41%,398,Nov 13,-,Trafalgar Releasing
366,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$271,489",614,-,-,-,Jul 23,Jul 23,Fathom Events
367,One Child Nation,"$270,128",36,"$20,523",7.6%,2,Aug 9,Sep 19,Amazon Studios
368,Slayer: The Repentless Killogy,"$268,727",494,-,-,-,Nov 6,-,Trafalgar Releasing
369,Luzia: Cirque du Soleil in Cinema,"$265,673",784,-,-,-,Oct 29,-,Fathom Events
370,Out of Liberty,"$265,279",36,"$66,546",25.1%,35,Sep 13,-,Purdie Distribution
371,Cunningham,"$265,102",23,"$18,422",6.9%,4,Dec 13,-,Magnolia Pictures
372,Star Raiders: The Adventures of Saber Raine,"$260,234",665,-,-,-,Jun 6,Jun 11,Fathom Events
373,Mobile Suit Gundam Narrative,"$259,224",449,-,-,-,Feb 19,Feb 21,Fathom Events
374,Her Smell,"$255,599",69,"$36,941",14.5%,3,Apr 12,May 23,Gunpowder & Sky
375,Lords of Chaos,"$253,184",75,"$27,649",10.9%,4,Feb 8,Mar 24,Gunpowder & Sky
376,Bolshoi Ballet: The Nutcracker,"$252,935",401,"$252,935",100%,401,Dec 15,-,Fathom Events
377,When Harry Met Sally...,"$252,320",660,"$157,660",62.5%,660,Dec 1,-,Fathom Events
378,I Got the Hook Up 2,"$252,293",40,"$149,036",59.1%,37,Jul 12,Jul 25,Fathom Events
379,Canal Street,"$251,917",73,"$108,259",43%,73,Jan 18,Feb 14,Fathom Events
380,Meeting Gorbachev,"$251,837",42,"$18,128",7.2%,2,May 3,-,1091 Media
381,The Twilight Zone: A 60th Anniversary Celebration,"$248,514",677,-,-,-,Nov 14,-,Fathom Events
382,Doctor Who: The End of Time: Part One,"$247,798",745,-,-,-,Aug 7,-,Fathom Events
383,Friendsgiving Day #1,"$246,168",766,"$246,168",100%,766,Nov 24,-,Fathom Events
384,Give Me Liberty,"$242,734",18,"$33,261",13.7%,3,Aug 23,-,Music Box Films
385,Play the Flute,"$241,251",11,-,-,-,Jan 28,-,Five & Two Pictures
386,311 Enlarged to Show Detail 3,"$238,791",239,-,-,-,Mar 11,-,Trafalgar Releasing
387,American Woman,"$236,637",117,"$110,552",46.7%,117,Jun 14,Jul 18,Roadside Attractions
388,Romeo Akbar Walter,"$236,299",101,"$142,102",60.1%,101,Apr 5,Apr 25,Eros International
389,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973",239,"$232,973",100%,239,Sep 28,-,Fathom Events
390,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703",426,"$230,703",100%,426,May 4,May 4,Fathom Events
391,Mine 9,"$226,421",29,"$68,921",30.4%,23,Apr 12,Jul 16,Fathom Events
392,Millennium Actress,"$225,250",512,-,-,-,Aug 13,Jan 23,Fathom Events
393,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858",194,"$223,858",100%,194,Jul 20,Jul 20,Fathom Events
394,Never Surrender: A Galaxy Quest Documentary,"$222,971",556,-,-,-,Nov 26,-,Fathom Events
395,First Love,"$218,329",40,"$21,151",9.7%,2,Sep 27,-,Well Go USA Entertainment
396,"The Gangster, the Cop, the Devil","$216,494",21,"$78,655",36.3%,21,Jun 7,-,Well Go USA Entertainment
397,The Karate Kid,"$215,447",588,"$140,623",65.3%,588,Mar 31,Apr 2,Fathom Events
398,Hamlet,"$214,578",572,-,-,-,Jul 8,Jul 8,Fathom Events
399,"Faith, Hope & Love","$210,091",18,"$55,403",26.4%,18,Mar 15,Jun 13,ArtAffects Entertainment
400,Master Z: The Ip Man Legacy,"$209,454",61,"$92,663",44.2%,61,Apr 12,May 2,Well Go USA Entertainment
401,Kathy Griffin: A Hell of a Story,"$208,907",648,-,-,-,Jul 31,Jul 31,Fathom Events
402,Bolshoi Ballet: Carmen Suite/Petrushka,"$207,523",362,"$207,523",100%,362,May 19,May 19,Fathom Events
403,Synonyms,"$206,003",13,"$17,891",8.7%,2,Oct 25,-,Kino Lorber
404,The Iron Orchard,"$204,881",42,"$45,863",22.4%,8,Feb 22,Apr 4,Kino Lorber
405,Hesburgh,"$204,709",36,"$17,009",8.3%,2,Apr 26,-,Music Box Films
406,Forrest Gump,"$203,088",560,"$114,767",56.5%,560,Jun 23,-,Fathom Events
407,Dabangg 3,"$202,000",294,-,-,-,Dec 20,-,Yash Raj Films
408,Blink of an Eye,"$201,874",517,-,-,-,Sep 12,-,Fathom Events
409,Friendsgiving Day #2,"$198,869",766,-,-,-,Nov 25,-,Fathom Events
410,Chasing the Dragon II: Wild Wild Bunch,"$196,634",16,"$60,971",31%,16,Jun 7,Jul 18,Well Go USA Entertainment
411,Family,"$194,601",107,"$19,586",10.1%,3,Apr 19,May 9,The Film Arcade
412,Mr. Klein,"$193,028",6,"$15,915",8.2%,1,Sep 6,-,Rialto Pictures
413,Bolshoi Ballet: Le Corsaire,"$190,192",383,"$190,192",100%,383,Nov 17,-,Fathom Events
414,The Divine Plan,"$190,031",-,-,-,-,Nov 6,-,Fathom Events
415,42nd Street: The Musical,"$187,440",515,-,-,-,May 1,-,Fathom Events
416,To Dust,"$184,495",23,"$8,496",4.6%,1,Feb 8,Apr 25,Good Deed Entertainment
417,The River and the Wall,"$183,602",57,"$57,504",31.3%,57,May 3,-,Gravitas Ventures
418,Giant Little Ones,"$181,507",32,"$13,042",7.2%,1,Mar 1,Apr 11,Vertical Entertainment
419,Raymonda: Bolshoi Ballet,"$181,361",383,"$181,361",100%,383,Oct 27,-,Fathom Events
420,Bolshoi Ballet: Raymonda,"$181,361",383,"$181,361",100%,383,Oct 27,-,Fathom Events
421,Modest Heroes,"$178,027",370,"$178,027",100%,370,Jan 10,Jan 12,Fathom Events
422,The Warrior Queen of Jhansi,"$177,289",277,"$112,208",63.3%,276,Nov 15,Nov 28,Roadside Attractions
423,India's Most Wanted,"$176,858",110,"$98,322",55.6%,110,May 24,Jun 6,FIP
424,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387",11,"$9,248",5.2%,1,Apr 12,Aug 22,Kino Lorber
425,Tigers Are Not Afraid,"$175,559",19,"$30,710",17.5%,6,Aug 21,-,Variance Films
426,Marjaavaan,"$174,164",65,"$101,761",58.4%,65,Nov 15,-,Eros International
427,Bolshoi Ballet: The Golden Age,"$171,916",360,"$171,916",100%,360,Apr 7,Apr 7,Fathom Events
428,Frankie,"$171,781",117,"$19,435",11.3%,4,Oct 25,-,Sony Pictures Classics
429,Asbury Park: Riot Redemption Rock 'n Roll,"$167,684",270,"$7,437",4.4%,205,May 22,May 30,Trafalgar Releasing
430,Bad Guys: The Movie,"$166,972",11,"$45,233",27.1%,11,Sep 20,-,CJ Entertainment
431,Bright Ones,"$165,627",614,"$165,627",100%,614,Apr 22,-,Fathom Events
432,Nureyev: Lifting the Curtain,"$165,203",18,"$6,362",3.9%,5,Apr 19,Aug 2,Fathom Events
433,Sunset,"$164,906",37,"$13,846",8.4%,3,Mar 22,May 30,Sony Pictures Classics
434,INXS: Baby Live at Wembly Stadium,"$161,750",516,-,-,-,Dec 9,-,Fathom Events
435,Monty Python's Life of Brian,"$161,507",125,"$18,005",11.1%,47,Apr 18,May 2,Trafalgar Releasing
436,"Diana Ross: Her Life, Love and Legacy","$160,968",623,-,-,-,Mar 26,Mar 28,Fathom Events
437,Varda by Agnès,"$160,765",10,"$12,390",7.7%,2,Nov 22,-,Janus Films
438,Batman,"$159,419",489,"$159,419",100%,489,May 4,May 4,Fathom Events
439,Them That Follow,"$159,218",195,"$13,137",8.3%,3,Aug 2,-,1091 Media
440,Money,"$155,732",11,-,-,-,Mar 21,May 2,CJ Entertainment
441,The Death and Life of John F. Donovan,"$152,713",25,"$33,340",21.8%,25,Aug 23,-,Entertainment One
442,Halston,"$151,991",30,"$11,643",7.7%,1,May 24,-,The Orchard
443,Peterloo,"$151,971",92,"$26,002",17.1%,3,Apr 5,May 2,Amazon Studios
444,Before You Know It,"$151,507",31,"$23,086",15.2%,3,Aug 30,-,1091 Media
445,Jay Myself,"$151,331",17,"$18,909",12.5%,1,Jul 31,-,Oscilloscope
446,Glory,"$150,801",435,"$83,347",55.3%,435,Jul 21,-,Fathom Events
447,Little Woods,"$150,010",33,"$57,610",38.4%,33,Apr 19,May 16,Neon
448,Trial by Fire,"$148,504",109,"$78,817",53.1%,109,May 17,May 30,Roadside Attractions
449,War and Peace,"$148,503",3,"$22,976",15.5%,1,Feb 15,-,Janus Films
450,Dogman,"$148,225",12,"$13,013",8.8%,3,Apr 12,Jul 18,Magnolia Pictures
451,Invisible Life,"$146,535",18,"$8,127",5.5%,2,Dec 20,-,Amazon Studios
452,Framing John DeLorean,"$145,625",28,"$6,991",4.8%,1,Jun 7,Jul 28,IFC Films
453,Hampstead,"$144,396",18,"$17,141",11.9%,12,Jun 14,-,IFC Films
454,Doctor Who: Logopolis,"$143,248",428,-,-,-,Mar 13,Mar 13,Fathom Events
455,Branagh Theatre Live: The Winter's Tale,"$141,143",106,"$34,380",24.4%,92,Dec 4,-,Trafalgar Releasing
456,Canelo vs. Kovalev,"$140,820",471,"$140,820",100%,471,Nov 2,-,Fathom Events
457,Wilder vs. Ortiz,"$139,207",186,"$139,207",100%,186,Nov 23,-,Fathom Events
458,Who Will Write Our History,"$138,039",6,"$13,390",9.7%,1,Jan 18,May 2,Abramorama
459,Rafiki,"$137,968",26,"$16,016",11.6%,26,Apr 19,-,Film Movement
460,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888",-,-,-,-,Nov 7,-,Fathom Events
461,The Other Story,"$135,191",11,"$14,163",10.5%,5,Jun 28,-,Strand Releasing
462,Okko's Inn,"$134,787",465,$763,0.6%,1,Apr 22,May 9,GKIDS
463,Palau the Movie,"$134,696",135,-,-,-,Mar 29,Apr 7,Trafalgar Releasing
464,Made in Abyss: Journey's Dawn,"$134,047",573,-,-,-,Mar 20,Mar 25,Fathom Events
465,Peppa Celebrates Chinese New Year,"$131,225",67,"$66,913",51%,67,Feb 6,Feb 19,STX Entertainment
466,Mister America,"$130,897",125,"$10,090",7.7%,2,Oct 9,-,Magnolia Pictures
467,The Zoya Factor,"$128,831",100,"$79,517",61.7%,100,Sep 20,Oct 3,FIP
468,Woodstock,"$126,562",781,-,-,-,Aug 15,-,Fathom Events
469,Paris Is Burning,"$125,677",6,"$10,839",8.6%,1,Jun 14,-,Janus Films
470,Lost & Found,"$125,173",6,-,-,-,Mar 29,Aug 20,Janus Films
471,Mary Magdalene,"$124,741",62,"$46,646",37.4%,62,Apr 12,May 2,IFC Films
472,Easy Rider,"$123,276",252,"$74,448",60.4%,252,Jul 14,Jul 17,Fathom Events
473,The Kingmaker,"$122,587",18,"$19,523",15.9%,2,Nov 8,-,Greenwich Entertainment
474,Downtown 81,"$122,390",8,"$25,208",20.6%,1,Oct 25,-,Metrograph Pictures
475,A Tuba to Cuba,"$121,772",16,"$11,270",9.3%,2,Feb 15,Jul 11,Blue Fox Entertainment
476,Citizen K,"$120,411",15,"$10,571",8.8%,1,Nov 22,-,Greenwich Entertainment
477,Avant qu'on explose,"$119,894",35,"$28,402",23.7%,35,Mar 1,Apr 25,Entertainment One
478,"Ruben Brandt, Collector","$117,963",43,"$6,036",5.1%,1,Feb 15,May 19,Sony Pictures Classics
479,The Reports on Sarah and Saleem,"$117,479",11,"$10,102",8.6%,4,Jun 12,-,Dada Films
480,Mob Psycho 100,"$115,766",375,"$115,766",100%,375,Jan 5,Jan 5,Fathom Events
481,Be Natural: The Untold Story of Alice Guy-Blaché,"$115,265",14,"$3,237",2.8%,1,Apr 19,-,Zeitgeist Films
482,The Woman Who Loves Giraffes,"$113,858",22,"$1,810",1.6%,2,Oct 4,-,Zeitgeist Films
483,Police Story,"$113,164",7,"$25,591",22.6%,5,Feb 1,Apr 25,Janus Films
484,Babylon,"$109,749",9,"$21,214",19.3%,1,Mar 8,Aug 11,Kino Lorber
485,The Audience,"$106,529",529,-,-,-,Jun 3,Jun 3,Fathom Events
486,The Brink,"$106,057",124,"$18,063",17%,4,Mar 28,May 30,Magnolia Pictures
487,"Belle and Sebastian, Friends for Life","$105,890",38,"$38,017",35.9%,38,Jan 25,Apr 4,Entertainment One
488,Cold Case Hammarskjöld,"$104,965",15,"$18,285",17.4%,10,Aug 16,-,Magnolia Pictures
489,Anthropocene: The Human Epoch,"$104,806",110,"$16,038",15.3%,7,Sep 25,Dec 19,Kino Lorber
490,Miss & Mrs. Cops,"$104,578",9,"$15,073",14.4%,2,May 10,Jun 6,CJ Entertainment
491,Penguin Highway,"$104,567",168,"$22,833",21.8%,84,Apr 12,May 19,Eleven Arts
492,The Divine Fury,"$102,982",23,"$43,863",42.6%,23,Aug 16,-,Well Go USA Entertainment
493,Walking on Water,"$102,140",9,"$10,654",10.4%,2,May 17,Sep 22,Kino Lorber
494,Mojin: The Worm Valley,"$101,516",17,"$50,583",49.8%,17,Jan 4,Jan 31,Well Go USA Entertainment
495,Wonders of the Sea,"$100,780",266,-,-,-,Jan 17,-,Fathom Events
496,Tazza: One-Eyed Jack,"$97,655",22,"$41,139",42.1%,22,Sep 20,-,Well Go USA Entertainment
497,A Bigger Splash,"$95,826",11,"$18,000",18.8%,1,Jun 21,-,Metrograph Pictures
498,Rojo,"$94,757",7,"$12,479",13.2%,2,Jul 12,-,Distrib Films
499,The Image Book,"$94,153",33,"$13,854",14.7%,33,Jan 25,Apr 25,Kino Lorber
500,Margaret Atwood: Live in Cinemas,"$93,690",499,-,-,-,Sep 10,-,Fathom Events
501,Always Miss You,"$91,884",14,"$46,720",50.8%,14,May 3,May 30,China Lion Film Distribution
502,Mapplethorpe,"$91,002",19,"$17,000",18.7%,3,Mar 1,Apr 21,The Samuel Goldwyn Company
503,The Crossing,"$90,896",28,"$40,243",44.3%,28,Mar 15,Apr 11,CMC Pictures
504,Loopers: The Caddie's Long Walk,"$90,679",68,"$28,253",31.2%,68,Jun 7,-,Gravitas Ventures
505,My Dear Liar,"$90,545",29,"$36,787",40.6%,29,Nov 8,-,CMC Pictures Holdings
506,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$90,341",445,-,-,-,Jul 11,Jul 15,Fathom Events
507,Ramen Shop,"$88,455",10,"$5,303",6%,2,Mar 22,Jun 27,Strand Releasing
508,The Lumber Baron,"$88,336",11,"$15,059",17%,11,May 24,Sep 1,Indican Pictures
509,Jim Allison: Breakthrough,"$87,984",10,"$8,679",9.9%,3,Sep 27,-,Dada Films
510,ECCO,"$86,858",155,"$48,205",55.5%,155,Aug 9,-,Citadel Film Group
511,Sonchiriya,"$86,765",70,"$60,170",69.3%,70,Mar 1,Mar 14,Citadel Film Group
512,The Chambermaid,"$86,422",5,"$5,490",6.4%,1,Jun 28,Nov 21,Kino Lorber
513,National Theater Live: Cyrano de Bergerac,"$86,300",301,-,-,-,Jan 23,-,Fathom Events
514,Mayday Life,"$85,912",11,"$47,769",55.6%,8,May 31,Jun 13,China Lion Film Distribution
515,Skid Row Marathon,"$84,997",438,"$84,997",-,438,Oct 14,-,Fathom Events
516,The Third Wife,"$84,933",8,"$3,339",3.9%,1,May 15,-,Film Movement
517,Papi Chulo,"$84,703",16,"$7,257",8.6%,2,Jun 7,Aug 15,Blue Fox Entertainment
518,Woodstock,"$84,440",11,"$8,150",-,2,May 24,Jul 7,PBS Distribution
519,Looking Up,"$84,267",13,"$36,541",43.4%,13,Jul 19,Aug 4,China Lion Film Distribution
520,High Strung Free Dance,"$83,891",106,"$54,601",65.1%,106,Oct 11,-,Atlas Distribution Company
521,Ms. Purple,"$80,657",23,"$15,734",19.5%,1,Sep 6,-,Oscilloscope
522,Saint Judy,"$78,935",55,"$39,275",49.8%,55,Mar 1,Apr 4,Blue Fox Entertainment
523,Christ Stopped at Eboli,"$78,736",3,"$9,006",11.4%,1,Apr 3,-,Rialto Pictures
524,The Heiresses,"$78,473",6,"$11,304",14.4%,2,Jan 16,Jun 6,Distrib Films
525,Ploey,"$77,815",20,-,-,-,Apr 26,-,Distrib Films
526,A Faithful Man,"$77,491",6,"$7,321",9.4%,1,Jul 19,Nov 8,Kino Lorber
527,Fast Colour,"$76,916",25,"$37,594",48.9%,25,Apr 19,May 16,Lionsgate
528,Triple Threat,"$76,289",12,"$5,936",7.8%,12,Mar 19,-,Well Go USA Entertainment
529,Savage,"$74,491",19,"$36,590",49.1%,19,May 3,May 23,Well Go USA Entertainment
